Time	Displacement	Forcewasher
sec	inches	lbf
8.0200E-3	 2.241E+0	 4.883E-1
8.0400E-3	 2.241E+0	 0.000E+0
8.0600E-3	 2.246E+0	 4.883E-1
8.0800E-3	 2.246E+0	 4.883E-1
8.1000E-3	 2.246E+0	 4.883E-1
8.1200E-3	 2.246E+0	 0.000E+0
8.1400E-3	 2.246E+0	 0.000E+0
8.1600E-3	 2.246E+0	 4.883E-1
8.1800E-3	 2.246E+0	 4.883E-1
8.2000E-3	 2.251E+0	 4.883E-1
8.2200E-3	 2.251E+0	 4.883E-1
8.2400E-3	 2.251E+0	 0.000E+0
8.2600E-3	 2.256E+0	 9.766E-1
8.2800E-3	 2.251E+0	 4.883E-1
8.3000E-3	 2.251E+0	 4.883E-1
8.3200E-3	 2.256E+0	 4.883E-1
8.3400E-3	 2.256E+0	 0.000E+0
8.3600E-3	 2.256E+0	 4.883E-1
8.3800E-3	 2.256E+0	 4.883E-1
8.4000E-3	 2.256E+0	 4.883E-1
8.4200E-3	 2.261E+0	 0.000E+0
8.4400E-3	 2.261E+0	 0.000E+0
8.4600E-3	 2.261E+0	 4.883E-1
8.4800E-3	 2.261E+0	 4.883E-1
8.5000E-3	 2.261E+0	 0.000E+0
8.5200E-3	 2.261E+0	 4.883E-1
8.5400E-3	 2.266E+0	 4.883E-1
8.5600E-3	 2.266E+0	 4.883E-1
8.5800E-3	 2.266E+0	 4.883E-1
8.6000E-3	 2.266E+0	 4.883E-1
8.6200E-3	 2.266E+0	 0.000E+0
8.6400E-3	 2.266E+0	 4.883E-1
8.6600E-3	 2.271E+0	 4.883E-1
8.6800E-3	 2.266E+0	 4.883E-1
8.7000E-3	 2.271E+0	 4.883E-1
8.7200E-3	 2.271E+0	 4.883E-1
8.7400E-3	 2.271E+0	 0.000E+0
8.7600E-3	 2.271E+0	 4.883E-1
8.7800E-3	 2.271E+0	 4.883E-1
8.8000E-3	 2.275E+0	 4.883E-1
8.8200E-3	 2.275E+0	 4.883E-1
8.8400E-3	 2.275E+0	 4.883E-1
8.8600E-3	 2.275E+0	 9.766E-1
8.8800E-3	 2.275E+0	 4.883E-1
8.9000E-3	 2.280E+0	 0.000E+0
8.9200E-3	 2.280E+0	 4.883E-1
8.9400E-3	 2.280E+0	 4.883E-1
8.9600E-3	 2.280E+0	 4.883E-1
8.9800E-3	 2.280E+0	 4.883E-1
9.0000E-3	 2.280E+0	 4.883E-1
9.0200E-3	 2.285E+0	 4.883E-1
9.0400E-3	 2.285E+0	 4.883E-1
9.0600E-3	 2.280E+0	 4.883E-1
9.0800E-3	 2.285E+0	 4.883E-1
9.1000E-3	 2.285E+0	 4.883E-1
9.1200E-3	 2.285E+0	 4.883E-1
9.1400E-3	 2.290E+0	 4.883E-1
9.1600E-3	 2.285E+0	 9.766E-1
9.1800E-3	 2.290E+0	 9.766E-1
9.2000E-3	 2.290E+0	 4.883E-1
9.2200E-3	 2.290E+0	 0.000E+0
9.2400E-3	 2.290E+0	 4.883E-1
9.2600E-3	 2.290E+0	 9.766E-1
9.2800E-3	 2.295E+0	 4.883E-1
9.3000E-3	 2.295E+0	 4.883E-1
9.3200E-3	 2.295E+0	 4.883E-1
9.3400E-3	 2.295E+0	 4.883E-1
9.3600E-3	 2.295E+0	 4.883E-1
9.3800E-3	 2.300E+0	 4.883E-1
9.4000E-3	 2.300E+0	 4.883E-1
9.4200E-3	 2.300E+0	 4.883E-1
9.4400E-3	 2.300E+0	 9.766E-1
9.4600E-3	 2.300E+0	 9.766E-1
9.4800E-3	 2.300E+0	 4.883E-1
9.5000E-3	 2.305E+0	 9.766E-1
9.5200E-3	 2.305E+0	 4.883E-1
9.5400E-3	 2.305E+0	 4.883E-1
9.5600E-3	 2.305E+0	 9.766E-1
9.5800E-3	 2.305E+0	 9.766E-1
9.6000E-3	 2.305E+0	 4.883E-1
9.6200E-3	 2.310E+0	 4.883E-1
9.6400E-3	 2.310E+0	 4.883E-1
9.6600E-3	 2.310E+0	 9.766E-1
9.6800E-3	 2.310E+0	 9.766E-1
9.7000E-3	 2.314E+0	 4.883E-1
9.7200E-3	 2.314E+0	 4.883E-1
9.7400E-3	 2.310E+0	 9.766E-1
9.7600E-3	 2.310E+0	 9.766E-1
9.7800E-3	 2.310E+0	 9.766E-1
9.8000E-3	 2.314E+0	 9.766E-1
9.8200E-3	 2.319E+0	 4.883E-1
9.8400E-3	 2.314E+0	 9.766E-1
9.8600E-3	 2.314E+0	 9.766E-1
9.8800E-3	 2.319E+0	 9.766E-1
9.9000E-3	 2.319E+0	 9.766E-1
9.9200E-3	 2.319E+0	 4.883E-1
9.9400E-3	 2.319E+0	 9.766E-1
9.9600E-3	 2.319E+0	 9.766E-1
9.9800E-3	 2.324E+0	 9.766E-1
1.0000E-2	 2.324E+0	 9.766E-1
1.0020E-2	 2.324E+0	 9.766E-1
1.0040E-2	 2.324E+0	 9.766E-1
1.0060E-2	 2.324E+0	 9.766E-1
1.0080E-2	 2.324E+0	 9.766E-1
1.0100E-2	 2.329E+0	 4.883E-1
1.0120E-2	 2.329E+0	 4.883E-1
1.0140E-2	 2.329E+0	 9.766E-1
1.0160E-2	 2.329E+0	 9.766E-1
1.0180E-2	 2.329E+0	 9.766E-1
1.0200E-2	 2.334E+0	 4.883E-1
1.0220E-2	 2.334E+0	 4.883E-1
1.0240E-2	 2.329E+0	 9.766E-1
1.0260E-2	 2.334E+0	 9.766E-1
1.0280E-2	 2.334E+0	 4.883E-1
1.0300E-2	 2.334E+0	 9.766E-1
1.0320E-2	 2.334E+0	 4.883E-1
1.0340E-2	 2.334E+0	 9.766E-1
1.0360E-2	 2.339E+0	 9.766E-1
1.0380E-2	 2.339E+0	 9.766E-1
1.0400E-2	 2.339E+0	 4.883E-1
1.0420E-2	 2.339E+0	 9.766E-1
1.0440E-2	 2.339E+0	 9.766E-1
1.0460E-2	 2.339E+0	 9.766E-1
1.0480E-2	 2.339E+0	 9.766E-1
1.0500E-2	 2.344E+0	 9.766E-1
1.0520E-2	 2.344E+0	 4.883E-1
1.0540E-2	 2.344E+0	 9.766E-1
1.0560E-2	 2.344E+0	 1.465E+0
1.0580E-2	 2.344E+0	 9.766E-1
1.0600E-2	 2.349E+0	 4.883E-1
1.0620E-2	 2.349E+0	 4.883E-1
1.0640E-2	 2.349E+0	 9.766E-1
1.0660E-2	 2.354E+0	 1.465E+0
1.0680E-2	 2.354E+0	 9.766E-1
1.0700E-2	 2.354E+0	 4.883E-1
1.0720E-2	 2.354E+0	 4.883E-1
1.0740E-2	 2.354E+0	 1.465E+0
1.0760E-2	 2.354E+0	 9.766E-1
1.0780E-2	 2.358E+0	 4.883E-1
1.0800E-2	 2.358E+0	 9.766E-1
1.0820E-2	 2.358E+0	 9.766E-1
1.0840E-2	 2.358E+0	 9.766E-1
1.0860E-2	 2.358E+0	 9.766E-1
1.0880E-2	 2.358E+0	 9.766E-1
1.0900E-2	 2.358E+0	 9.766E-1
1.0920E-2	 2.363E+0	 9.766E-1
